,ref_img,other_img,result,expected_result,cos_dist_np,cos_dist_sfe,total_time,sfe_time,extraction_time,server.Command being timed,server.User time (seconds),server.System time (seconds),server.Percent of CPU this job got,server.Elapsed (wall clock) time (h:mm:ss or m:ss),server.Average shared text size (kbytes),server.Average unshared data size (kbytes),server.Average stack size (kbytes),server.Average total size (kbytes),server.Maximum resident set size (kbytes),server.Average resident set size (kbytes),server.Major (requiring I/O) page faults,server.Minor (reclaiming a frame) page faults,server.Voluntary context switches,server.Involuntary context switches,server.Swaps,server.File system inputs,server.File system outputs,server.Socket messages sent,server.Socket messages received,server.Signals delivered,server.Page size (bytes),server.Exit status,client.Command being timed,client.User time (seconds),client.System time (seconds),client.Percent of CPU this job got,client.Elapsed (wall clock) time (h:mm:ss or m:ss),client.Average shared text size (kbytes),client.Average unshared data size (kbytes),client.Average stack size (kbytes),client.Average total size (kbytes),client.Maximum resident set size (kbytes),client.Average resident set size (kbytes),client.Major (requiring I/O) page faults,client.Minor (reclaiming a frame) page faults,client.Voluntary context switches,client.Involuntary context switches,client.Swaps,client.File system inputs,client.File system outputs,client.Socket messages sent,client.Socket messages received,client.Signals delivered,client.Page size (bytes),client.Exit status,energy_client,energy_server,server.hardware.aes.performance,server.hardware.rtt,server.hardware.throughput,server.online_time.bool.local_gates,server.online_time.bool.interactive_gates,server.online_time.bool.layer_finish,server.online_time.yao.local_gates,server.online_time.yao.interactive_gates,server.online_time.yao.layer_finish,server.online_time.yao_rev.local_gates,server.online_time.yao_rev.interactive_gates,server.online_time.yao_rev.layer_finish,server.online_time.arith.local_gates,server.online_time.arith.interactive_gates,server.online_time.arith.layer_finish,server.online_time.splut.local_gates,server.online_time.splut.interactive_gates,server.online_time.splut.layer_finish,server.online_time.communication,server.complexities.boolean_sharing.ands,server.complexities.boolean_sharing.depth,server.complexities.total_vec_and,server.complexities.total_non_vec_and,server.complexities.xor_vals,server.complexities.gates,server.complexities.comb_gates,server.complexities.combstruct_gates,server.complexities.perm_gates,server.complexities.subset_gates,server.complexities.split_gates,server.complexities.yao.ands,server.complexities.yao.depth,server.complexities.reverse_yao.ands,server.complexities.reverse_yao.depth,server.complexities.arithmetic_sharing.muls,server.complexities.arithmetic_sharing.depth,server.complexities.sp_lut_sharing.ot_gates_total,server.complexities.sp_lut_sharing.depth,server.complexities.total_nr_of_gates,server.complexities.total_depth,server.timings.total,server.timings.init,server.timings.circuitgen,server.timings.network,server.timings.baseots,server.timings.setup,server.timings.otextension,server.timings.garbling,server.timings.online,server.communication.total.sent,server.communication.total.received,server.communication.base_ots.sent,server.communication.base_ots.received,server.communication.setup.sent,server.communication.setup.received,server.communication.otextension.sent,server.communication.otextension.received,server.communication.garbling.sent,server.communication.garbling.received,server.communication.online.sent,server.communication.online.received,server.cos_dist_ver,server.cos_dist_sfe,client.hardware.aes.performance,client.hardware.rtt,client.hardware.throughput,client.online_time.bool.local_gates,client.online_time.bool.interactive_gates,client.online_time.bool.layer_finish,client.online_time.yao.local_gates,client.online_time.yao.interactive_gates,client.online_time.yao.layer_finish,client.online_time.yao_rev.local_gates,client.online_time.yao_rev.interactive_gates,client.online_time.yao_rev.layer_finish,client.online_time.arith.local_gates,client.online_time.arith.interactive_gates,client.online_time.arith.layer_finish,client.online_time.splut.local_gates,client.online_time.splut.interactive_gates,client.online_time.splut.layer_finish,client.online_time.communication,client.complexities.boolean_sharing.ands,client.complexities.boolean_sharing.depth,client.complexities.total_vec_and,client.complexities.total_non_vec_and,client.complexities.xor_vals,client.complexities.gates,client.complexities.comb_gates,client.complexities.combstruct_gates,client.complexities.perm_gates,client.complexities.subset_gates,client.complexities.split_gates,client.complexities.yao.ands,client.complexities.yao.depth,client.complexities.reverse_yao.ands,client.complexities.reverse_yao.depth,client.complexities.arithmetic_sharing.muls,client.complexities.arithmetic_sharing.depth,client.complexities.sp_lut_sharing.ot_gates_total,client.complexities.sp_lut_sharing.depth,client.complexities.total_nr_of_gates,client.complexities.total_depth,client.timings.total,client.timings.init,client.timings.circuitgen,client.timings.network,client.timings.baseots,client.timings.setup,client.timings.otextension,client.timings.garbling,client.timings.online,client.communication.total.sent,client.communication.total.received,client.communication.base_ots.sent,client.communication.base_ots.received,client.communication.setup.sent,client.communication.setup.received,client.communication.otextension.sent,client.communication.otextension.received,client.communication.garbling.sent,client.communication.garbling.received,client.communication.online.sent,client.communication.online.received,client.cos_dist_ver,client.cos_dist_sfe
0,lfw/Adrian_McPherson/Adrian_McPherson_0001.jpg,lfw/Adrian_McPherson/Adrian_McPherson_0002.jpg,False,True,0.7936480194330215,0.793648243,261.0246756076813,242.95766305923462,18.067012548446655,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.1.177 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",29.05,7.55,15%,4:02.26,0,0,0,0,135684,0,8,67382,87124,42298,0,504,0,0,0,0,4096,0,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 1 -a 192.168.1.177 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",29.61,7.29,15%,4:02.09,0,0,0,0,135736,0,0,66929,82971,42125,0,0,0,0,0,0,4096,0,not measured,not measured,47.6264272347,7.3476250000,0.8600860235,219.5460000000,234.0140000000,220.2450000000,11.7020000000,9.8790000000,4.6510000000,9.6490000000,9.7970000000,3.2420000000,9.4530000000,9.8960000000,12.7790000000,9.5750000000,10.0190000000,72.9070000000,44012.5620000001,621887,7541,621887,621887,575264,194010,0,0,0,4096,0,0,0,0,0,0,0,0,1,437313,7541,68339.5860000000,21902.9070000000,0.3010000000,259.0530000000,149769.1340000000,23444.5530000000,23439.3970000000,0.0150000000,44895.0260000000,9781208,9781208,67138388,67138388,9551519,9551528,9551519,9551528,0,0,229689,229680,0.7936480045,0.7936482430,47.5492980349,7.2251875000,0.8905774361,222.2290000000,242.2670000000,236.3850000000,10.5730000000,10.0750000000,4.3910000000,11.6900000000,8.3720000000,5.6260000000,9.6500000000,10.7390000000,16.2880000000,8.7180000000,9.0530000000,68.5710000000,43981.3040000001,621887,7541,621887,621887,575264,194010,0,0,0,4096,0,0,0,0,0,0,0,0,1,437313,7541,68352.0810000000,21929.1800000000,0.3130000000,45.1310000000,149777.4890000000,23452.4740000000,23447.0470000000,0.0080000000,44899.6000000000,9781208,9781208,67138388,67138388,9551528,9551537,9551528,9551537,0,0,229680,229671,0.7936480045,0.7936482430
0,lfw/Adrian_McPherson/Adrian_McPherson_0001.jpg,lfw/Arnoldo_Aleman/Arnoldo_Aleman_0005.jpg,False,False,0.9038460031151772,0.9038460255,245.03977847099304,228.2682499885559,16.771528482437134,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.1.177 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",29.16,7.60,16%,3:46.69,0,0,0,0,135748,0,0,67057,87888,42255,0,288,0,0,0,0,4096,0,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 1 -a 192.168.1.177 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",29.00,7.15,15%,3:46.78,0,0,0,0,135624,0,0,66926,78276,38817,0,0,0,0,0,0,4096,0,not measured,not measured,47.5515590782,11.0238750000,0.8957853412,218.7210000000,237.8600000000,222.6930000000,13.5100000000,11.4960000000,4.6010000000,9.1850000000,9.1860000000,4.4080000000,10.1830000000,9.5700000000,13.2860000000,8.1680000000,8.7500000000,62.8450000000,41331.8830000002,621887,7541,621887,621887,575264,194010,0,0,0,4096,0,0,0,0,0,0,0,0,1,437313,7541,58736.3780000000,22010.6450000000,0.3600000000,33.2400000000,143893.9280000000,16520.7830000000,16515.6780000000,0.0060000000,42215.5890000000,9781208,9781208,67138388,67138388,9551528,9551528,9551528,9551528,0,0,229680,229680,0.9038460255,0.9038460255,48.3548787216,11.4115625000,0.9322645222,217.4840000000,237.5180000000,222.1290000000,11.9290000000,10.9790000000,4.1890000000,12.8820000000,8.2130000000,5.0270000000,9.1090000000,9.3750000000,13.0640000000,8.2370000000,8.6870000000,58.7420000000,41342.3320000000,621887,7541,621887,621887,575264,194010,0,0,0,4096,0,0,0,0,0,0,0,0,1,437313,7541,58735.9610000000,21566.7300000000,0.3370000000,598.1050000000,143902.6770000000,16527.3050000000,16521.1620000000,0.0080000000,42208.6480000000,9781217,9781208,67138379,67138388,9551537,9551528,9551528,9551528,0,0,229680,229680,0.9038460255,0.9038460255
0,lfw/Adrian_Nastase/Adrian_Nastase_0001.jpg,lfw/Adrian_Nastase/Adrian_Nastase_0002.jpg,True,True,0.5122029781341553,0.5122027397,219.44008445739746,203.24638056755066,16.1937038898468,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.1.177 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",28.92,7.13,17%,3:22.75,0,0,0,0,135712,0,0,67057,84481,44098,0,0,0,0,0,0,4096,0,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 1 -a 192.168.1.177 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",29.26,6.89,17%,3:22.49,0,0,0,0,135624,0,0,66921,77363,37774,0,0,0,0,0,0,4096,0,not measured,not measured,47.8483118798,5.6720625000,1.0654293392,215.2080000000,231.8340000000,232.1690000000,11.3560000000,10.0300000000,4.5230000000,8.4430000000,8.6710000000,4.2690000000,9.0630000000,9.8000000000,12.4010000000,7.5680000000,7.9430000000,62.9590000000,35495.6970000000,621887,7541,621887,621887,575264,194010,0,0,0,4096,0,0,0,0,0,0,0,0,1,437313,7541,57682.9330000000,21799.1390000000,0.3110000000,180.2870000000,121083.4720000000,21318.0330000000,21312.4620000000,0.0100000000,36364.8930000000,9781199,9781208,67138388,67138388,9551528,9551528,9551519,9551528,0,0,229671,229680,0.5122028589,0.5122027397,48.0204011673,6.1090000000,1.1041337430,212.7900000000,235.2050000000,207.2120000000,10.9680000000,8.8730000000,4.0690000000,10.7490000000,7.7880000000,3.2310000000,8.2180000000,9.5750000000,13.0970000000,8.9320000000,9.2280000000,64.1400000000,35516.0170000001,621887,7541,621887,621887,575264,194010,0,0,0,4096,0,0,0,0,0,0,0,0,1,437313,7541,57692.3810000000,21713.1620000000,0.3140000000,13.2760000000,121094.0990000000,21324.6100000000,21318.3450000000,0.0110000000,36367.7610000000,9781217,9781208,67138379,67138388,9551537,9551528,9551528,9551528,0,0,229680,229680,0.5122028589,0.5122027397
0,lfw/Adrian_Nastase/Adrian_Nastase_0001.jpg,lfw/Jeanette_Gray/Jeanette_Gray_0001.jpg,False,False,0.897691510617733,0.8976913691,274.7246298789978,257.70090651512146,17.023723363876343,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.1.177 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",29.24,7.84,14%,4:15.32,0,0,0,0,135660,0,0,67056,93498,43794,0,288,0,0,0,0,4096,0,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 1 -a 192.168.1.177 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",29.35,7.57,14%,4:15.37,0,0,0,0,135688,0,0,66922,84306,39943,0,0,0,0,0,0,4096,0,not measured,not measured,47.5009072256,9.2345625000,0.8141093184,223.4710000000,241.1120000000,234.1590000000,12.5850000000,9.6080000000,3.9150000000,9.4540000000,9.3860000000,3.8670000000,9.9970000000,8.9480000000,12.9570000000,9.0070000000,8.5050000000,61.5830000000,47968.4870000001,621887,7541,621887,621887,575264,194010,0,0,0,4096,0,0,0,0,0,0,0,0,1,437313,7541,73105.4400000000,21965.7350000000,0.3250000000,27.4240000000,158227.0280000000,24244.4660000000,24239.3580000000,0.0060000000,48860.9680000000,9781208,9781208,67138388,67138388,9551528,9551528,9551528,9551528,0,0,229680,229680,0.8976915479,0.8976913691,47.7129380900,9.2530000000,0.8614266724,223.7250000000,237.6570000000,232.4900000000,13.3230000000,10.7830000000,4.4060000000,12.1070000000,8.1820000000,4.6300000000,9.8800000000,9.6740000000,16.9300000000,8.7070000000,8.8940000000,66.3800000000,47951.2459999999,621887,7541,621887,621887,575264,194010,0,0,0,4096,0,0,0,0,0,0,0,0,1,437313,7541,73110.2600000000,21850.0970000000,0.3150000000,236.2270000000,158230.3520000000,24252.4580000000,24246.1910000000,0.0100000000,48857.7960000000,9781208,9781208,67138388,67138388,9551528,9551537,9551528,9551528,0,0,229680,229671,0.8976915479,0.8976913691
0,lfw/Adrien_Brody/Adrien_Brody_0001.jpg,lfw/Adrien_Brody/Adrien_Brody_0002.jpg,False,True,0.9199863970279694,0.9199864268,278.27319169044495,261.5045533180237,16.768638372421265,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.1.177 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",29.61,7.19,14%,4:20.68,0,0,0,0,135760,0,0,67058,90625,43308,0,0,0,0,0,0,4096,0,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 1 -a 192.168.1.177 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",29.37,7.17,14%,4:20.61,0,0,0,0,135640,0,0,66928,80495,37944,0,0,0,0,0,0,4096,0,not measured,not measured,47.4136677676,12.6710000000,0.7377540408,213.9880000000,228.4130000000,217.6220000000,10.0840000000,9.6360000000,3.5530000000,9.6280000000,9.2360000000,2.4790000000,9.5660000000,8.7380000000,12.8130000000,10.1200000000,9.4060000000,64.4950000000,37442.0969999999,621887,7541,621887,621887,575264,194010,0,0,0,4096,0,0,0,0,0,0,0,0,1,437313,7541,62135.5730000000,22006.7050000000,0.3320000000,22.1480000000,174554.8590000000,23828.2490000000,23823.1310000000,0.0070000000,38307.3170000000,9781208,9781208,67138388,67138388,9551528,9551528,9551528,9551528,0,0,229680,229680,0.9199864268,0.9199864268,47.6826688586,12.5756250000,0.7655063371,221.9420000000,235.0530000000,222.8850000000,10.2960000000,10.6000000000,4.2470000000,11.2100000000,8.2190000000,3.4980000000,8.3910000000,10.0710000000,13.2550000000,9.4280000000,8.2180000000,59.7800000000,37424.5339999998,621887,7541,621887,621887,575264,194010,0,0,0,4096,0,0,0,0,0,0,0,0,1,437313,7541,62129.6670000000,21864.0900000000,0.3050000000,132.3480000000,174539.0860000000,23835.9200000000,23829.7340000000,0.0090000000,38293.7400000000,9781208,9781208,67138388,67138388,9551528,9551528,9551528,9551528,0,0,229680,229680,0.9199864268,0.9199864268
0,lfw/Adrien_Brody/Adrien_Brody_0001.jpg,lfw/Adrien_Brody/Adrien_Brody_0003.jpg,False,True,0.8289421051740646,0.8289422989,256.8777229785919,240.03575682640076,16.841966152191162,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.1.177 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",29.44,7.39,15%,3:59.44,0,0,0,0,135748,0,0,67379,93130,43746,0,0,0,0,0,0,4096,0,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 1 -a 192.168.1.177 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",29.37,7.26,15%,3:59.48,0,0,0,0,135720,0,0,66923,81099,36527,0,0,0,0,0,0,4096,0,not measured,not measured,47.5683734979,9.5168750000,0.8414259556,214.3160000000,232.2910000000,214.9190000000,10.2860000000,9.1520000000,4.3120000000,8.7260000000,9.7160000000,2.5540000000,9.8770000000,8.7590000000,13.4500000000,9.6170000000,9.4910000000,65.3950000000,40231.5710000000,621887,7541,621887,621887,575264,194010,0,0,0,4096,0,0,0,0,0,0,0,0,1,437313,7541,62354.9270000000,21925.8310000000,0.3110000000,27.3890000000,153151.8580000000,21266.0630000000,21260.8970000000,0.0070000000,41088.8590000000,9781208,9781208,67138388,67138388,9551528,9551528,9551528,9551528,0,0,229680,229680,0.8289421201,0.8289422989,47.7987686776,8.3175625000,0.8671865459,217.1690000000,231.2090000000,207.8100000000,13.4300000000,10.9140000000,4.1430000000,10.9450000000,7.8370000000,3.8600000000,8.6510000000,10.4180000000,12.5990000000,8.1750000000,8.2350000000,62.0280000000,40230.1949999999,621887,7541,621887,621887,575264,194010,0,0,0,4096,0,0,0,0,0,0,0,0,1,437313,7541,62356.2740000000,21812.7480000000,0.3560000000,199.4860000000,153148.0200000000,21275.0280000000,21268.0470000000,0.0100000000,41081.2380000000,9781217,9781208,67138379,67138388,9551537,9551537,9551528,9551528,0,0,229680,229671,0.8289421201,0.8289422989
0,lfw/Adrien_Brody/Adrien_Brody_0001.jpg,lfw/Adrien_Brody/Adrien_Brody_0004.jpg,False,True,0.7118381857872009,0.7118384242,270.1798722743988,254.15991163253784,16.019960641860962,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.1.177 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",29.47,7.94,14%,4:13.66,0,0,0,0,135712,0,0,67061,95269,43052,0,288,0,0,0,0,4096,0,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 1 -a 192.168.1.177 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",29.22,7.72,14%,4:13.74,0,0,0,0,135680,0,0,66929,82933,40025,0,0,0,0,0,0,4096,0,not measured,not measured,47.3596552809,9.3973750000,0.7840762446,218.2490000000,237.1070000000,222.3710000000,11.4240000000,10.7470000000,4.1870000000,11.5050000000,10.6260000000,4.8330000000,9.5940000000,8.9750000000,11.7160000000,8.3320000000,9.2030000000,68.1530000000,45139.2690000001,621887,7541,621887,621887,575264,194010,0,0,0,4096,0,0,0,0,0,0,0,0,1,437313,7541,65334.4400000000,22061.6740000000,0.3090000000,20.9290000000,164239.7320000000,19314.0790000000,19308.9790000000,0.0070000000,46020.3530000000,9781208,9781208,67138388,67138388,9551528,9551528,9551528,9551528,0,0,229680,229680,0.7118381858,0.7118384242,47.5415273384,9.2876250000,0.8127538244,226.9410000000,234.6680000000,214.7710000000,10.1570000000,10.3250000000,4.5210000000,11.5710000000,7.9460000000,3.9300000000,8.8120000000,10.7910000000,14.1100000000,9.1080000000,8.4790000000,64.7060000000,45136.1260000001,621887,7541,621887,621887,575264,194010,0,0,0,4096,0,0,0,0,0,0,0,0,1,437313,7541,65339.3030000000,21935.7280000000,0.3350000000,258.3550000000,164238.4370000000,19320.8070000000,19314.6030000000,0.0090000000,46018.4890000000,9781208,9781208,67138388,67138388,9551528,9551537,9551528,9551537,0,0,229680,229671,0.7118381858,0.7118384242
0,lfw/Adrien_Brody/Adrien_Brody_0001.jpg,lfw/Adrien_Brody/Adrien_Brody_0005.jpg,True,True,0.57862788438797,0.578627944,240.85299229621887,224.0542974472046,16.798694849014282,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.1.177 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",29.34,7.42,16%,3:42.00,0,0,0,0,135756,0,0,67379,86356,41219,0,0,0,0,0,0,4096,0,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 1 -a 192.168.1.177 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",29.66,7.10,16%,3:41.41,0,0,0,0,135620,0,0,66927,80472,37804,0,0,0,0,0,0,4096,0,not measured,not measured,47.5398697714,6.3818125000,0.9640160451,224.3510000000,235.1100000000,233.4490000000,11.2780000000,9.4000000000,5.6550000000,9.5570000000,9.9200000000,3.6340000000,9.2150000000,8.7860000000,12.0520000000,8.2540000000,8.5730000000,62.6030000000,42734.8359999998,621887,7541,621887,621887,575264,194010,0,0,0,4096,0,0,0,0,0,0,0,0,1,437313,7541,63705.1200000000,21945.4280000000,0.3310000000,618.4420000000,133742.0260000000,20086.8380000000,20081.5780000000,0.0070000000,43618.2750000000,9781208,9781208,67138388,67138388,9551528,9551528,9551520,9551528,0,0,229680,229680,0.5786280632,0.5786279440,47.6388528341,6.3527500000,1.0088644983,220.4330000000,237.3700000000,227.6530000000,10.9200000000,10.7500000000,3.7540000000,12.8830000000,9.0220000000,4.6560000000,8.3130000000,9.8730000000,14.7320000000,8.4640000000,8.4190000000,68.8130000000,42709.4680000000,621887,7541,621887,621887,575264,194010,0,0,0,4096,0,0,0,0,0,0,0,0,1,437313,7541,63719.0550000000,21883.8080000000,0.3350000000,78.0090000000,133739.9600000000,20096.8110000000,20090.7050000000,0.0080000000,43622.2360000000,9781217,9781208,67138379,67138388,9551537,9551528,9551528,9551528,0,0,229680,229680,0.5786280632,0.5786279440
0,lfw/Adrien_Brody/Adrien_Brody_0001.jpg,lfw/Adrien_Brody/Adrien_Brody_0006.jpg,True,True,0.5517679750919342,0.5517679453,241.34692883491516,224.62943840026855,16.717490434646606,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.1.177 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",29.55,7.28,16%,3:43.63,0,0,0,0,135760,0,0,67062,85690,39696,0,288,0,0,0,0,4096,0,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 1 -a 192.168.1.177 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",29.88,6.95,16%,3:43.77,0,0,0,0,135760,0,0,66927,82130,40113,0,0,0,0,0,0,4096,0,not measured,not measured,47.4931897827,6.1926875000,0.9532385124,214.3400000000,237.1370000000,200.3950000000,9.7690000000,8.7650000000,4.9800000000,9.6420000000,10.2800000000,2.9360000000,10.6430000000,10.2070000000,13.0630000000,8.3920000000,9.6810000000,67.7350000000,45855.8460000000,621887,7541,621887,621887,575264,194010,0,0,0,4096,0,0,0,0,0,0,0,0,1,437313,7541,64326.4440000000,21992.6950000000,0.3320000000,18.5520000000,135265.2790000000,17620.8530000000,17615.7080000000,0.0070000000,46705.5860000000,9781208,9781208,67138388,67138388,9551528,9551528,9551520,9551528,0,0,229680,229680,0.5517679453,0.5517679453,47.4733426055,6.1130000000,0.9839459003,219.1460000000,233.5400000000,220.1160000000,11.9640000000,10.1500000000,4.7960000000,12.7240000000,8.7330000000,3.4280000000,9.0810000000,9.5390000000,12.6860000000,8.1600000000,8.6830000000,61.7320000000,45814.5119999999,621887,7541,621887,621887,575264,194010,0,0,0,4096,0,0,0,0,0,0,0,0,1,437313,7541,64332.5340000000,21970.0810000000,0.3020000000,266.9560000000,135266.1290000000,17642.8070000000,17636.1110000000,0.0100000000,46689.7190000000,9781217,9781208,67138379,67138388,9551537,9551537,9551528,9551537,0,0,229680,229671,0.5517679453,0.5517679453
0,lfw/Adrien_Brody/Adrien_Brody_0001.jpg,lfw/Adrien_Brody/Adrien_Brody_0007.jpg,False,True,0.6581714153289795,0.6581714153,310.065801858902,293.280145406723,16.785656452178955,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.1.177 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",29.08,7.73,12%,4:52.65,0,0,0,0,135768,0,0,67062,88932,43358,0,0,0,0,0,0,4096,0,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 1 -a 192.168.1.177 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 112 -x 0""",29.71,7.36,12%,4:52.67,0,0,0,0,135688,0,0,66923,83962,40297,0,0,0,0,0,0,4096,0,not measured,not measured,47.3897196333,8.3199375000,0.6131931721,212.6600000000,228.4970000000,205.4670000000,11.2170000000,9.5510000000,3.1410000000,8.9080000000,10.2510000000,2.8860000000,9.2620000000,8.4540000000,11.2750000000,7.9700000000,8.7800000000,67.3090000000,40951.9549999998,621887,7541,621887,621887,575264,194010,0,0,0,4096,0,0,0,0,0,0,0,0,1,437313,7541,58910.8480000000,22047.0960000000,0.3110000000,35.3400000000,209731.1970000000,17120.7700000000,17115.5810000000,0.0080000000,41790.0720000000,9781208,9781208,67138388,67138388,9551528,9551528,9551528,9551528,0,0,229680,229680,0.6581714153,0.6581714153,47.4575960123,8.3422500000,0.6284570261,217.3070000000,228.0140000000,221.6080000000,10.7540000000,10.2450000000,3.7390000000,12.6260000000,8.7930000000,4.1530000000,10.5180000000,10.5080000000,13.3530000000,8.0640000000,8.6810000000,61.1590000000,40925.6770000000,621887,7541,621887,621887,575264,194010,0,0,0,4096,0,0,0,0,0,0,0,0,1,437313,7541,58918.9370000000,22037.0290000000,0.3260000000,41.8870000000,209730.3770000000,17127.0530000000,17121.0510000000,0.0070000000,41791.8780000000,9781217,9781208,67138379,67138388,9551537,9551528,9551528,9551528,0,0,229680,229680,0.6581714153,0.6581714153
